"","NODES","EDGES","VARS","FUNCS","LOOPS","SMCC","CRT.S0","CPU.S0","TIM.S0","CRT.S10","CPU.S10","TIM.S10","CRT.S20","CPU.S20","TIM.S20","CRT.S30","CPU.S30","TIM.S30","CRT.S40","CPU.S40","TIM.S40","CRT.S50","CPU.S50","TIM.S50"
"1800",705,727,75,24,1,46,1,5.408700498,5.389700498,1,5.424050925,5.405050925,1,5.731174197,5.712174197,1,5.424050925,5.405050925,1,5.424050925,5.405050925,1,5.731174197,5.712174197
"1801",816,865,101,24,1,59,1,5.816035945,5.796035945,1,5.816035945,5.796035945,1,5.816035945,5.796035945,1,5.816035945,5.796035945,1,5.816035945,5.796035945,1,5.998718112,5.978718112
"1802",923,996,125,24,1,71,1,6.546651662,6.526651662,1,6.546651662,6.526651662,1,6.54600221,6.52600221,1,6.54600221,6.52600221,1,6.546651662,6.526651662,1,6.54600221,6.52600221
"1803",590,605,26,21,1,41,1,5.258913329,5.240913329,1,5.309180684,5.291180684,1,5.286342493,5.268342493,1,5.309180684,5.291180684,1,5.309180684,5.291180684,1,5.281176791,5.263176791
"1804",2786,2993,438,64,3,156,1,10.49774398,10.47574398,1,10.49774398,10.47574398,1,10.49774398,10.47574398,1,12.62010966,12.59810966,1,13.4390399,13.4170399,1,10.55735279,10.53535279
"1805",972,1020,132,37,1,81,1,7.150921436,7.131921436,1,7.193592822,7.174592822,1,7.120186926,7.101186926,1,7.193592822,7.174592822,1,7.193592822,7.174592822,1,7.270617874,7.251617874
"1806",1339,1420,239,44,3,108,1,7.839294696,7.817294696,1,7.839294696,7.817294696,1,7.839294696,7.817294696,1,7.839294696,7.817294696,1,7.839294696,7.817294696,1,8.043727042,8.021727042
"1807",1126,1159,157,46,2,72,1,7.645652218,7.625652218,1,7.891387185,7.871387185,1,8.118175476,8.098175476,1,7.891387185,7.871387185,1,7.891387185,7.871387185,1,8.118175476,8.098175476
"1808",5053,5394,1218,93,11,276,1,13.44591929,13.41791929,1,13.44591929,13.41791929,1,13.44591929,13.41791929,1,16.1868977,16.1588977,1,13.44591929,13.41791929,1,13.44591929,13.41791929
"1809",1426,1486,140,49,1,90,1,7.683587601,7.662587601,1,7.683587601,7.662587601,1,7.59155002,7.57055002,1,7.683587601,7.662587601,1,7.683587601,7.662587601,1,7.59155002,7.57055002
"1810",5140,5402,836,121,13,239,1,17.07074128,17.04174128,1,17.07074128,17.04174128,1,17.37479934,17.34579934,1,17.07074128,17.04174128,1,17.07074128,17.04174128,1,17.07074128,17.04174128
"1811",1946,2032,323,83,8,147,1,8.49580935,8.47380935,1,8.49580935,8.47380935,1,8.675542326,8.653542326,1,8.49580935,8.47380935,1,8.49580935,8.47380935,1,8.675542326,8.653542326
"1812",1030,1058,135,44,1,67,1,7.409575813,7.386575813,1,7.847885061,7.824885061,1,7.972020358,7.949020358,1,7.847885061,7.824885061,1,7.847885061,7.824885061,1,7.972020358,7.949020358
"1813",1415,1471,157,56,1,94,1,8.295741013,8.269741013,1,8.295741013,8.269741013,1,8.579381134,8.553381134,1,8.295741013,8.269741013,1,8.295741013,8.269741013,1,8.579381134,8.553381134
