@relation training6

@attribute GNoAffS numeric
@attribute GVL numeric
@attribute GFTime numeric

@data
0.154404,0.572437,0.081584
0.161244,0.572437,0.054465
0,0.695986,0.289261
0.086218,0.698181,0.121174
0.887254,0.818595,0.09972
0.092021,0.695673,0.121231
0.185907,0.764189,0.075176
0.253264,1,0.021168
0.071295,0.976168,0.118142
0.125803,0.757291,0.112821
0.453679,0.6455,0.012358
0.268187,0.769363,0.131873
0.328912,0.697084,0.002288
0.629637,0.741612,0.103038
0.185699,0.319536,1
0.352124,0.727501,0
0.103627,0.85842,0.123291
1,0.836312,0.121632
0.057202,0.26513,0.246067
0.337617,0.998746,0.479547
0.471917,0,0.014475
0,0.978691,0.037828
0.48024,0.421613,0.033015
0.053094,0.931507,0.031298
0.133333,0.91172,0.024346
0.445509,0,0.038588
0.032335,0.732116,0.178333
0.500998,0,0.08562
0.025948,0.917808,0.271553
0.167265,0.902588,0.017591
0.231936,0.95586,0.975682
0.468263,0.695586,0.085311
0.492216,0.722983,0.081708
0.118563,0.899543,0
0.193613,0.902588,0.02201
0.360479,0.52968,0.528836
0.067066,0.540335,0.182527
0.108184,0.913242,0.624645
0.228343,0.974125,0.011118
0.198802,0.978691,0.017394
0.322555,0.138508,0.531144
0.126547,0.642314,0.113935
0.287425,1,0.065327
0.107784,0.491629,0.267894
0.42994,0.715373,0.081342
0.256287,0.887367,0.062428
1,0.442922,0.113879
0.42515,0.818874,1
0.473054,0.694064,0.087816
0.479441,0.663623,0.082355
0.019162,0.718417,0.005685
0.165844,0.555932,0.010242
0.272727,0.969492,0.170786
0.128667,0.961017,0.007278
0.151322,0,0.000819
0.40546,0.916949,0.156346
0.440895,0.972881,0.228384
0.068254,0.89661,0.021694
0.319489,0.872881,0.025627
0.146965,0.908475,0.009342
0.410107,0.440678,0.054022
0.41824,0.284746,0.999885
0.365379,0.725424,0.022663
0.317746,0.567797,0.024036
0.154807,0.766102,0.008615
0.132733,0.189831,0.01128
1,1,0.000531
0.563172,0.833898,0.162413
0.19605,0.513559,0.001349
0.353471,0.991525,0.022732
0.142899,0.961017,0.007797
0.990996,0.952542,0
0.107174,0.840678,0.009307
0.455998,0.284746,0.99985
0.122277,0.754237,0.008223
0.069416,0.811864,0.058047
0.995643,0.927119,0.000231
0.449898,0.830508,0.112439
0.170781,0.794915,0.012929
0,0.916949,1
0.137671,0.90339,0.010899
0.521361,0.292683,0.110873
0.48609,0.827051,0.025597
0.476155,0.827051,0.023325
0.290859,0.824834,0.010031
1,0.949002,0
0.345753,0.436807,0.01206
0.261302,0.966741,0.006964
0.229757,0.771619,0.05742
0.630651,0.179601,0.161421
0.4538,0.736142,0.024617
0.258818,0.913525,0.009904
0.423497,0.83592,0.171844
