NoAffS,VL,VC,Time,Result,FTime,FResult,GNoAffS,GVL,GVC,GTime,GResult,GFTime,GFResult
600.0,1377.0,362.0,,0.0,122.57,1.0,0.34512195121951217,1.0,1.0,0,0.0,0.07548138639281124,1.0
987.0,962.0,230.0,,0.0,220.18,1.0,0.8170731707317073,0.4963592233009709,0.5714285714285714,0,0.0,0.70198973042362,1.0
765.0,927.0,206.0,,0.0,210.67,1.0,0.5463414634146342,0.4538834951456311,0.4935064935064935,0,0.0,0.6409499358151475,1.0
990.0,687.0,116.0,,0.0,220.71,1.0,0.8207317073170731,0.16262135922330098,0.2012987012987013,0,0.0,0.7053915275994865,1.0
1068.0,888.0,192.0,,0.0,204.92,1.0,0.9158536585365854,0.4065533980582524,0.44805194805194803,0,0.0,0.6040436456996148,1.0
485.0,1273.0,330.0,,0.0,121.12,1.0,0.2048780487804878,0.8737864077669902,0.8961038961038961,0,0.0,0.06617458279845957,1.0
722.0,1224.0,314.0,,0.0,231.27,1.0,0.49390243902439024,0.8143203883495146,0.8441558441558441,0,0.0,0.7731707317073171,1.0
464.0,1210.0,312.0,,0.0,122.12,1.0,0.17926829268292682,0.7973300970873787,0.8376623376623377,0,0.0,0.07259306803594352,1.0
997.0,1163.0,290.0,,0.0,219.53,1.0,0.8292682926829268,0.7402912621359223,0.7662337662337663,0,0.0,0.6978177150192554,1.0
746.0,1077.0,248.0,,0.0,216.68,1.0,0.5231707317073171,0.6359223300970874,0.6298701298701299,0,0.0,0.6795250320924262,1.0
425.0,1235.0,318.0,,0.0,138.25,1.0,0.13170731707317074,0.8276699029126213,0.8571428571428571,0,0.0,0.17612323491655965,1.0
343.0,1236.0,316.0,,0.0,208.84,1.0,0.03170731707317073,0.8288834951456311,0.8506493506493507,0,0.0,0.6292041078305519,1.0
959.0,930.0,186.0,,0.0,252.98,1.0,0.7829268292682927,0.4575242718446602,0.42857142857142855,0,0.0,0.9125160462130936,1.0
832.0,553.0,54.0,,0.0,266.61,1.0,0.6280487804878049,0.0,0.0,0,0.0,1.0,1.0
1874.0,4152.0,300.0,,0.0,179.81,1.0,0.33815689261233817,0.759558996012198,0.7071651090342679,0,0.0,0.12523103112840467,1.0
2533.0,4056.0,297.0,,0.0,113.12,1.0,0.5891089108910891,0.7370396434435843,0.6978193146417445,0,0.0,0.04413910505836577,1.0
1137.0,4185.0,311.0,,0.0,83.34,1.0,0.0575019040365575,0.7673000234576589,0.7414330218068536,0,0.0,0.007928015564202346,1.0
1126.0,914.0,78.0,,0.0,86.93,1.0,0.053313023610053314,0.0,0.01557632398753894,0,0.0,0.012293287937743206,1.0
1259.0,4021.0,294.0,,0.0,135.05,1.0,0.10396039603960396,0.7288294628196106,0.6884735202492211,0,0.0,0.07080496108949418,1.0
1191.0,3649.0,251.0,,0.0,90.13,1.0,0.07806549885757806,0.6415669716162327,0.5545171339563862,0,0.0,0.01618433852140078,1.0
2568.0,3158.0,257.0,,0.0,157.18,1.0,0.6024371667936025,0.5263898662913441,0.573208722741433,0,0.0,0.09771400778210117,1.0
3612.0,2129.0,181.0,,0.0,886.02,1.0,1.0,0.28501055594651653,0.3364485981308411,0,0.0,0.9839494163424124,1.0
1683.0,3569.0,277.0,,0.0,163.66,1.0,0.2654226961157654,0.6228008444757214,0.6355140186915887,0,0.0,0.10559338521400777,1.0
1623.0,2822.0,248.0,,0.0,184.55,1.0,0.24257425742574257,0.44757213230119636,0.5451713395638629,0,0.0,0.13099464980544748,1.0
1970.0,3035.0,219.0,,0.0,136.81,1.0,0.3747143945163747,0.4975369458128079,0.45482866043613707,0,0.0,0.07294503891050584,1.0
1770.0,3956.0,297.0,,0.0,140.32,1.0,0.2985529322162985,0.7135819845179451,0.6978193146417445,0,0.0,0.07721303501945524,1.0
1914.0,1365.0,73.0,,0.0,184.16,1.0,0.3533891850723534,0.10579404175463289,0.0,0,0.0,0.13052042801556418,1.0
1611.0,2744.0,165.0,,0.0,135.48,1.0,0.238004569687738,0.42927515833919777,0.2866043613707165,0,0.0,0.07132782101167313,1.0
1194.0,2697.0,186.0,,0.0,136.76,1.0,0.07920792079207921,0.4182500586441473,0.35202492211838005,0,0.0,0.07288424124513618,1.0
1737.0,2826.0,250.0,,0.0,187.36,1.0,0.285986290936786,0.44851043865822193,0.5514018691588785,0,0.0,0.1344114785992218,1.0
1975.0,2743.0,165.0,,0.0,76.82,1.0,0.3766184310738766,0.42904058174994136,0.2866043613707165,0,0.0,0.0,1.0
3117.0,2130.0,181.0,,0.0,416.93,1.0,0.8115003808073115,0.28524513253577294,0.3364485981308411,0,0.0,0.4135578793774319,1.0
1072.0,3262.0,247.0,,0.0,113.77,1.0,0.03274942878903275,0.550785831574009,0.5420560747663551,0,0.0,0.044929474708171206,1.0
